Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Realm_Name,Country_Name,Ecoregion,Site_Name,Date_Day,Date_Month,Date_Year,Depth_max_m,Bleaching_Level,S1,S2,S3,S4,S_rounded_mean,Severity_Code
1652,10317590,Reef_Check,-17.99711111,-38.67130556,Atlantic,Tropical Atlantic,Brazil,EST,,27,3,2002,7.5,,,,,,,1
1653,10317557,Reef_Check,-17.97027778,-38.67180556,Atlantic,Tropical Atlantic,Brazil,EST,,5,4,2005,7,1,2,2,2,2,2,1
1653,10317558,Reef_Check,-17.97027778,-38.67180556,Atlantic,Tropical Atlantic,Brazil,EST,,19,10,2007,10,1,0,0,0,0,0,0
1653,10317559,Reef_Check,-17.97027778,-38.67180556,Atlantic,Tropical Atlantic,Brazil,EST,,16,12,2009,9,1,0,0,0,0,0,0
1653,10317560,Reef_Check,-17.97027778,-38.67180556,Atlantic,Tropical Atlantic,Brazil,EST,,26,3,2002,10,,,,,,,1
1654,10317592,Reef_Check,-17.96830556,-38.71330556,Atlantic,Tropical Atlantic,Brazil,EST,,19,3,2002,4,,,,,,,1
1654,10317593,Reef_Check,-17.96830556,-38.71330556,Atlantic,Tropical Atlantic,Brazil,EST,,26,3,2002,4,,,,,,,1
1655,10317591,Reef_Check,-17.96319444,-38.70030556,Atlantic,Tropical Atlantic,Brazil,EST,,25,3,2002,2.5,,,,,,,1
1656,10317586,Reef_Check,-17.96269444,-38.67019444,Atlantic,Tropical Atlantic,Brazil,EST,,4,4,2005,8,1,2,2,2,2,2,1
1656,10317587,Reef_Check,-17.96269444,-38.67019444,Atlantic,Tropical Atlantic,Brazil,EST,,16,10,2007,10,1,0,0,0,0,0,0
1656,10317588,Reef_Check,-17.96269444,-38.67019444,Atlantic,Tropical Atlantic,Brazil,EST,,15,12,2009,13,1,0,0,0,0,0,0
1656,10317589,Reef_Check,-17.96269444,-38.67019444,Atlantic,Tropical Atlantic,Brazil,EST,,20,3,2002,9,,,,,,,1
1657,10317585,Reef_Check,-17.90080556,-38.66019444,Atlantic,Tropical Atlantic,Brazil,EST,,19,3,2002,7.5,,,,,,,1
1658,10317608,Reef_Check,-17.78669444,-39.04480556,Atlantic,Tropical Atlantic,Brazil,EST,,18,3,2002,5,,,,,,,1
1659,10317609,Reef_Check,-16.8975,-39.08269444,Atlantic,Tropical Atlantic,Brazil,EST,,23,3,2002,2.5,,,,,,,1
1660,10317610,Reef_Check,-16.88769444,-39.09161111,Atlantic,Tropical Atlantic,Brazil,EST,,24,3,2002,4.5,,,,,,,1
1661,10321472,Reef_Check,-12.588,-38.00213889,Atlantic,Tropical Atlantic,Brazil,NST,,16,12,2004,3,,,,,,,1
1662,10317547,Reef_Check,-12.56658333,-37.988,Atlantic,Tropical Atlantic,Brazil,NST,,15,12,2004,3,,,,,,,1
1663,10323837,Donner,-16.9929,-39.1432,Atlantic,Tropical Atlantic,Brazil,EST,,15,3,1998,0,,,,,,,1
1664,10323839,Donner,-18.2,-38.8,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Parcel and Archipelago,15,3,2001,0,,,,,,,1
1664,10323840,Donner,-18.2,-38.8,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Parcel and Archipelago,15,3,2002,0,,,,,,,1
1664,10323841,Donner,-18.2,-38.8,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Parcel and Archipelago,15,3,2003,0,,,,,,,1
1664,10323842,Donner,-18.2,-38.8,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Parcel and Archipelago,15,4,2005,0,,,,,,,3
1664,10323838,Donner,-18.2,-38.8,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Parcel and Archipelago,15,3,2000,0,,,,,,,1
1665,10323843,Donner,-17.7,-39.1,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Coastal Reefs,15,3,2001,0,,,,,,,1
1665,10323844,Donner,-17.7,-39.1,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Coastal Reefs,15,3,2002,0,,,,,,,1
1665,10323845,Donner,-17.7,-39.1,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Coastal Reefs,15,3,2003,0,,,,,,,1
1665,10323846,Donner,-17.7,-39.1,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Coastal Reefs,15,3,1994,0,,,,,,,3
1665,10323847,Donner,-17.7,-39.1,Atlantic,Tropical Atlantic,Brazil,EST,Abrolhos Coastal Reefs,15,3,2005,0,,,,,,,3
